carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
415;182;35;73;18;11;2023-03-08T15:15:00.000Z;40.6350256826218;-8.657213430790456;5eb030ac1198200011f688af_monitar
416;182;36;72;11;7;2023-03-08T15:30:00.000Z;;;
415;184;36;73;18;11;2023-03-08T15:45:00.000Z;;;
414;185;34;74;15;10;2023-03-08T16:00:00.000Z;;;
416;189;35;74;13;8;2023-03-08T16:15:00.000Z;;;
417;186;33;75;15;9;2023-03-08T16:30:00.000Z;;;
415;182;35;73;18;11;2023-03-08T15:15:00.000Z;;;
416;182;36;72;11;7;2023-03-08T15:30:00.000Z;;;
415;184;36;73;18;11;2023-03-08T15:45:00.000Z;;;
414;185;34;74;15;10;2023-03-08T16:00:00.000Z;;;
416;189;35;74;13;8;2023-03-08T16:15:00.000Z;;;
398;192;28;100;3;1;2023-03-21T13:00:00.000Z;;;
398;192;28;100;3;1;2023-03-21T13:15:00.000Z;;;
398;183;28;100;3;1;2023-03-21T13:30:00.000Z;;;
397;185;28;99;3;1;2023-03-21T13:45:00.000Z;;;
399;179;25;100;3;1;2023-03-21T14:00:00.000Z;;;
400;177;27;100;3;1;2023-03-21T14:15:00.000Z;;;
400;183;28;100;3;1;2023-03-21T14:30:00.000Z;;;
397;202;26;101;3;1;2023-03-21T14:45:00.000Z;;;
403;210;25;102;3;1;2023-03-21T15:00:00.000Z;;;
402;217;29;102;3;2;2023-03-21T15:15:00.000Z;;;
405;269;30;103;4;2;2023-03-21T15:30:00.000Z;;;
405;202;27;104;4;2;2023-03-21T15:45:00.000Z;;;
405;195;27;104;5;2;2023-03-21T16:00:00.000Z;;;
404;210;28;104;5;2;2023-03-21T16:15:00.000Z;;;
404;193;26;105;5;2;2023-03-21T16:30:00.000Z;;;
403;197;24;104;5;2;2023-03-21T16:45:00.000Z;;;
403;192;25;104;5;2;2023-03-21T17:00:00.000Z;;;
406;221;26;104;5;2;2023-03-21T17:15:00.000Z;;;
406;238;27;105;6;3;2023-03-21T17:30:00.000Z;;;
407;220;25;106;6;3;2023-03-21T17:45:00.000Z;;;
405;213;26;106;6;3;2023-03-21T18:00:00.000Z;;;
407;208;27;104;6;3;2023-03-21T18:15:00.000Z;;;
409;207;28;106;7;4;2023-03-21T18:30:00.000Z;;;
408;212;27;106;7;4;2023-03-21T18:45:00.000Z;;;
410;221;29;105;9;4;2023-03-21T19:00:00.000Z;;;
411;223;29;103;8;4;2023-03-21T19:15:00.000Z;;;
409;215;29;102;8;4;2023-03-21T19:30:00.000Z;;;
412;223;31;101;10;5;2023-03-21T19:45:00.000Z;;;
411;217;30;101;9;4;2023-03-21T20:00:00.000Z;;;
412;204;29;100;10;5;2023-03-21T20:15:00.000Z;;;
414;202;30;96;12;6;2023-03-21T20:30:00.000Z;;;
413;218;28;94;12;6;2023-03-21T20:45:00.000Z;;;
413;218;28;94;12;6;2023-03-21T20:45:00.000Z;;;
414;217;26;96;13;7;2023-03-21T21:00:00.000Z;;;
415;240;26;94;14;8;2023-03-21T21:15:00.000Z;;;
420;286;29;88;16;9;2023-03-21T21:30:00.000Z;;;
425;300;30;82;23;14;2023-03-21T21:45:00.000Z;;;
427;353;32;76;25;15;2023-03-21T22:00:00.000Z;;;
424;352;31;73;23;14;2023-03-21T22:15:00.000Z;;;
428;379;22;72;26;16;2023-03-21T22:30:00.000Z;;;
428;348;15;76;26;16;2023-03-21T22:45:00.000Z;;;
431;353;12;73;30;19;2023-03-21T23:00:00.000Z;;;
434;400;18;72;24;15;2023-03-21T23:15:00.000Z;;;
444;465;27;60;26;16;2023-03-21T23:30:00.000Z;;;
444;491;25;61;28;17;2023-03-21T23:45:00.000Z;;;
439;472;22;69;29;18;2023-03-22T00:00:00.000Z;;;
449;458;18;65;28;18;2023-03-22T00:15:00.000Z;;;
450;426;19;65;27;17;2023-03-22T00:30:00.000Z;;;
453;471;22;61;29;18;2023-03-22T00:45:00.000Z;;;
458;496;25;55;33;20;2023-03-22T01:00:00.000Z;;;
455;546;26;55;34;21;2023-03-22T01:15:00.000Z;;;
451;481;21;62;33;21;2023-03-22T01:30:00.000Z;;;
444;425;20;66;34;22;2023-03-22T01:45:00.000Z;;;
444;402;18;66;34;22;2023-03-22T02:00:00.000Z;;;
436;358;15;66;31;20;2023-03-22T02:15:00.000Z;;;
438;345;11;66;28;18;2023-03-22T02:30:00.000Z;;;
440;329;4;67;26;17;2023-03-22T02:45:00.000Z;;;
433;321;8;65;26;17;2023-03-22T03:00:00.000Z;;;
434;324;6;69;26;17;2023-03-22T03:15:00.000Z;;;
429;321;11;71;30;19;2023-03-22T03:30:00.000Z;;;
429;328;14;72;31;19;2023-03-22T03:45:00.000Z;;;
432;309;9;76;27;17;2023-03-22T04:00:00.000Z;;;
432;285;9;78;23;14;2023-03-22T04:15:00.000Z;;;
432;279;17;70;22;13;2023-03-22T04:30:00.000Z;;;
438;280;8;75;22;13;2023-03-22T04:45:00.000Z;;;
434;282;14;72;23;14;2023-03-22T05:00:00.000Z;;;
445;298;10;70;25;15;2023-03-22T05:15:00.000Z;;;
446;279;1;70;20;12;2023-03-22T05:30:00.000Z;;;
434;257;13;67;18;11;2023-03-22T05:45:00.000Z;;;
439;244;8;74;18;11;2023-03-22T06:00:00.000Z;;;
438;232;7;76;18;11;2023-03-22T06:15:00.000Z;;;
435;240;15;69;19;11;2023-03-22T06:30:00.000Z;;;
435;230;6;76;20;12;2023-03-22T06:45:00.000Z;;;
429;231;14;70;25;14;2023-03-22T07:00:00.000Z;;;
434;239;10;73;24;14;2023-03-22T07:15:00.000Z;;;
442;261;13;69;18;11;2023-03-22T07:30:00.000Z;;;
441;282;18;66;18;10;2023-03-22T07:45:00.000Z;;;
439;259;17;69;14;8;2023-03-22T08:00:00.000Z;;;
435;244;17;72;12;7;2023-03-22T08:15:00.000Z;;;
432;243;20;75;12;7;2023-03-22T08:30:00.000Z;;;
427;267;25;72;13;7;2023-03-22T08:45:00.000Z;;;
424;256;25;74;14;8;2023-03-22T09:00:00.000Z;;;
415;250;22;78;14;8;2023-03-22T09:15:00.000Z;;;
406;234;21;85;11;6;2023-03-22T09:30:00.000Z;;;
400;246;24;88;11;6;2023-03-22T09:45:00.000Z;;;
396;240;21;93;11;6;2023-03-22T10:00:00.000Z;;;
400;231;24;94;12;6;2023-03-22T10:15:00.000Z;;;
400;212;19;100;11;6;2023-03-22T10:30:00.000Z;;;
400;208;23;101;13;7;2023-03-22T10:45:00.000Z;;;
