carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
405;252;26;14;10;6;2023-03-08T15:30:00.000Z;40.64435;-8.64066;5e97271fc4ee8c00117cdd70_monitar
404;253;27;15;13;8;2023-03-08T15:45:00.000Z;;;
404;254;26;16;11;7;2023-03-08T16:00:00.000Z;;;
405;257;26;16;10;6;2023-03-08T16:15:00.000Z;;;
403;251;26;16;10;6;2023-03-08T16:30:00.000Z;;;
405;262;26;14;13;8;2023-03-08T15:15:00.000Z;;;
405;262;26;14;13;8;2023-03-08T15:15:00.000Z;;;
405;252;26;14;10;6;2023-03-08T15:30:00.000Z;;;
404;253;27;15;13;8;2023-03-08T15:45:00.000Z;;;
404;254;26;16;11;7;2023-03-08T16:00:00.000Z;;;
405;257;26;16;10;6;2023-03-08T16:15:00.000Z;;;
407;285;22;103;3;1;2023-03-21T13:15:00.000Z;;;
407;287;21;103;6;3;2023-03-21T13:30:00.000Z;;;
405;289;21;104;3;2;2023-03-21T13:45:00.000Z;;;
406;289;21;104;4;2;2023-03-21T14:00:00.000Z;;;
405;275;19;106;10;6;2023-03-21T14:15:00.000Z;;;
405;275;19;107;4;2;2023-03-21T14:30:00.000Z;;;
406;277;21;109;4;2;2023-03-21T14:45:00.000Z;;;
405;276;21;110;5;3;2023-03-21T15:00:00.000Z;;;
404;275;21;112;4;2;2023-03-21T15:15:00.000Z;;;
405;280;21;114;3;2;2023-03-21T15:30:00.000Z;;;
404;271;19;115;4;2;2023-03-21T15:45:00.000Z;;;
405;271;19;117;3;2;2023-03-21T16:00:00.000Z;;;
406;284;19;119;4;2;2023-03-21T16:15:00.000Z;;;
406;284;19;121;5;2;2023-03-21T16:30:00.000Z;;;
405;270;17;123;4;2;2023-03-21T16:45:00.000Z;;;
407;273;17;124;4;2;2023-03-21T17:00:00.000Z;;;
405;274;18;126;5;2;2023-03-21T17:15:00.000Z;;;
405;270;17;129;5;2;2023-03-21T17:30:00.000Z;;;
406;266;18;131;5;3;2023-03-21T17:45:00.000Z;;;
408;268;17;133;5;3;2023-03-21T18:00:00.000Z;;;
408;280;20;132;5;2;2023-03-21T18:15:00.000Z;;;
408;277;20;135;5;3;2023-03-21T18:30:00.000Z;;;
408;268;20;137;5;3;2023-03-21T18:45:00.000Z;;;
410;273;20;136;7;4;2023-03-21T19:00:00.000Z;;;
410;281;21;135;7;4;2023-03-21T19:15:00.000Z;;;
411;284;21;134;7;4;2023-03-21T19:30:00.000Z;;;
412;281;21;132;7;4;2023-03-21T19:45:00.000Z;;;
