carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
406;222;30;104;13;8;2023-03-08T15:15:00.000Z;40.646420920820354;-8.643309015445617;5ecd50bf766c3f0012f064cf_monitar
407;216;32;102;11;7;2023-03-08T15:30:00.000Z;;;
406;202;32;102;12;8;2023-03-08T15:45:00.000Z;;;
405;204;32;103;11;7;2023-03-08T16:00:00.000Z;;;
406;202;32;103;10;6;2023-03-08T16:15:00.000Z;;;
405;209;31;105;10;7;2023-03-08T16:30:00.000Z;;;
406;231;31;102;12;8;2023-03-08T16:45:00.000Z;;;
406;222;30;104;13;8;2023-03-08T15:15:00.000Z;;;
407;216;32;102;11;7;2023-03-08T15:30:00.000Z;;;
406;202;32;102;12;8;2023-03-08T15:45:00.000Z;;;
405;204;32;103;11;7;2023-03-08T16:00:00.000Z;;;
406;202;32;103;10;6;2023-03-08T16:15:00.000Z;;;
403;199;29;107;0;0;2023-03-21T13:00:00.000Z;;;
405;204;27;108;1;0;2023-03-21T13:15:00.000Z;;;
408;207;27;108;2;1;2023-03-21T13:30:00.000Z;;;
405;203;25;106;1;0;2023-03-21T13:45:00.000Z;;;
405;201;26;105;1;0;2023-03-21T14:00:00.000Z;;;
405;202;27;104;1;0;2023-03-21T14:15:00.000Z;;;
404;202;25;106;1;0;2023-03-21T14:30:00.000Z;;;
403;186;26;108;1;0;2023-03-21T14:45:00.000Z;;;
403;191;27;109;1;0;2023-03-21T15:00:00.000Z;;;
402;195;27;110;0;0;2023-03-21T15:15:00.000Z;;;
405;219;31;108;1;0;2023-03-21T15:30:00.000Z;;;
403;219;27;110;1;0;2023-03-21T15:45:00.000Z;;;
403;214;28;110;1;0;2023-03-21T16:00:00.000Z;;;
403;190;26;113;1;0;2023-03-21T16:15:00.000Z;;;
404;196;27;111;1;0;2023-03-21T16:30:00.000Z;;;
403;190;25;110;1;0;2023-03-21T16:45:00.000Z;;;
403;196;23;111;1;0;2023-03-21T17:00:00.000Z;;;
403;176;22;114;1;0;2023-03-21T17:15:00.000Z;;;
402;194;25;110;1;0;2023-03-21T17:30:00.000Z;;;
402;184;23;113;1;0;2023-03-21T17:45:00.000Z;;;
404;183;25;114;1;0;2023-03-21T18:00:00.000Z;;;
405;170;23;116;1;0;2023-03-21T18:15:00.000Z;;;
404;175;26;118;1;0;2023-03-21T18:30:00.000Z;;;
407;193;28;118;1;0;2023-03-21T18:45:00.000Z;;;
406;182;27;117;1;0;2023-03-21T19:00:00.000Z;;;
405;186;27;117;1;0;2023-03-21T19:15:00.000Z;;;
405;203;27;119;1;0;2023-03-21T19:30:00.000Z;;;
404;179;25;120;1;0;2023-03-21T19:45:00.000Z;;;
406;185;27;117;1;0;2023-03-21T20:00:00.000Z;;;
408;186;25;116;1;0;2023-03-21T20:15:00.000Z;;;
408;189;23;113;1;0;2023-03-21T20:30:00.000Z;;;
413;208;22;106;1;0;2023-03-21T20:45:00.000Z;;;
415;221;21;102;2;1;2023-03-21T21:00:00.000Z;;;
418;259;23;96;3;1;2023-03-21T21:15:00.000Z;;;
416;294;24;99;3;1;2023-03-21T21:30:00.000Z;;;
422;320;37;78;3;2;2023-03-21T21:45:00.000Z;;;
421;331;37;74;4;2;2023-03-21T22:00:00.000Z;;;
416;313;27;89;4;2;2023-03-21T22:15:00.000Z;;;
424;373;32;80;4;3;2023-03-21T22:30:00.000Z;;;
426;432;35;73;5;3;2023-03-21T22:45:00.000Z;;;
433;461;40;62;5;3;2023-03-21T23:00:00.000Z;;;
430;410;35;66;4;3;2023-03-21T23:15:00.000Z;;;
436;423;40;57;4;3;2023-03-21T23:30:00.000Z;;;
436;468;42;52;5;3;2023-03-21T23:45:00.000Z;;;
435;445;36;61;5;3;2023-03-22T00:00:00.000Z;;;
443;444;36;60;5;3;2023-03-22T00:15:00.000Z;;;
452;492;40;47;5;3;2023-03-22T00:30:00.000Z;;;
455;518;38;47;5;3;2023-03-22T00:45:00.000Z;;;
444;499;32;56;5;4;2023-03-22T01:00:00.000Z;;;
444;462;25;60;5;4;2023-03-22T01:15:00.000Z;;;
443;438;21;60;5;3;2023-03-22T01:30:00.000Z;;;
442;400;19;64;5;3;2023-03-22T01:45:00.000Z;;;
431;338;12;70;4;3;2023-03-22T02:00:00.000Z;;;
431;309;12;73;4;3;2023-03-22T02:15:00.000Z;;;
430;294;11;73;4;3;2023-03-22T02:30:00.000Z;;;
431;283;9;72;4;3;2023-03-22T02:45:00.000Z;;;
433;277;7;71;4;3;2023-03-22T03:00:00.000Z;;;
434;286;7;69;4;3;2023-03-22T03:15:00.000Z;;;
439;306;9;65;4;3;2023-03-22T03:30:00.000Z;;;
436;300;10;69;4;3;2023-03-22T03:45:00.000Z;;;
433;282;10;72;4;3;2023-03-22T04:00:00.000Z;;;
435;273;10;74;3;2;2023-03-22T04:15:00.000Z;;;
440;273;12;66;3;2;2023-03-22T04:30:00.000Z;;;
439;263;9;64;3;2;2023-03-22T04:45:00.000Z;;;
440;258;8;67;3;2;2023-03-22T05:00:00.000Z;;;
438;240;7;70;2;2;2023-03-22T05:15:00.000Z;;;
437;242;8;70;2;2;2023-03-22T05:30:00.000Z;;;
438;232;8;71;3;2;2023-03-22T05:45:00.000Z;;;
438;238;10;70;4;2;2023-03-22T06:00:00.000Z;;;
434;225;10;74;3;2;2023-03-22T06:15:00.000Z;;;
433;225;14;69;3;2;2023-03-22T06:30:00.000Z;;;
435;237;19;63;3;2;2023-03-22T06:45:00.000Z;;;
434;237;19;62;3;2;2023-03-22T07:00:00.000Z;;;
434;233;20;62;3;2;2023-03-22T07:15:00.000Z;;;
433;253;26;58;3;2;2023-03-22T07:30:00.000Z;;;
434;245;23;63;2;2;2023-03-22T07:45:00.000Z;;;
437;284;24;60;2;1;2023-03-22T08:00:00.000Z;;;
436;273;22;66;2;1;2023-03-22T08:15:00.000Z;;;
432;268;23;71;2;1;2023-03-22T08:30:00.000Z;;;
430;284;27;71;2;1;2023-03-22T08:45:00.000Z;;;
432;321;33;67;2;1;2023-03-22T09:00:00.000Z;;;
426;276;30;75;2;1;2023-03-22T09:15:00.000Z;;;
422;230;25;87;1;1;2023-03-22T09:30:00.000Z;;;
421;230;28;87;1;1;2023-03-22T09:45:00.000Z;;;
414;204;23;99;1;0;2023-03-22T10:00:00.000Z;;;
410;210;22;105;1;0;2023-03-22T10:15:00.000Z;;;
411;205;22;107;1;0;2023-03-22T10:30:00.000Z;;;
412;204;22;107;1;1;2023-03-22T10:45:00.000Z;;;
411;208;26;105;1;0;2023-03-22T11:00:00.000Z;;;
410;205;22;109;1;1;2023-03-22T11:15:00.000Z;;;
409;201;23;109;1;1;2023-03-22T11:30:00.000Z;;;
412;210;26;105;1;1;2023-03-22T11:45:00.000Z;;;
408;199;24;111;1;0;2023-03-22T12:00:00.000Z;;;
404;196;25;113;1;0;2023-03-22T12:15:00.000Z;;;
405;191;24;119;1;0;2023-03-22T12:30:00.000Z;;;
405;191;24;119;1;0;2023-03-22T12:30:00.000Z;;;
403;191;24;118;1;0;2023-03-22T12:45:00.000Z;;;
404;184;21;118;1;1;2023-03-22T13:00:00.000Z;;;
404;191;21;116;1;0;2023-03-22T13:15:00.000Z;;;
402;186;21;116;1;0;2023-03-22T13:30:00.000Z;;;
402;181;23;117;1;0;2023-03-22T13:45:00.000Z;;;
403;184;23;116;1;0;2023-03-22T14:00:00.000Z;;;
405;187;26;114;1;0;2023-03-22T14:15:00.000Z;;;
402;183;25;115;1;0;2023-03-22T14:30:00.000Z;;;
404;180;23;116;1;0;2023-03-22T14:45:00.000Z;;;
404;176;24;117;1;0;2023-03-22T15:00:00.000Z;;;
404;178;26;119;1;0;2023-03-22T15:15:00.000Z;;;
403;185;26;119;1;0;2023-03-22T15:30:00.000Z;;;
402;187;23;117;1;0;2023-03-22T15:45:00.000Z;;;
402;182;25;118;1;0;2023-03-22T16:00:00.000Z;;;
401;183;26;116;1;0;2023-03-22T16:15:00.000Z;;;
404;183;28;114;1;0;2023-03-22T16:30:00.000Z;;;
404;207;31;111;1;0;2023-03-22T16:45:00.000Z;;;
405;194;29;112;1;0;2023-03-22T17:00:00.000Z;;;
403;214;32;109;1;0;2023-03-22T17:15:00.000Z;;;
406;256;38;99;1;0;2023-03-22T17:30:00.000Z;;;
407;237;36;103;1;0;2023-03-22T17:45:00.000Z;;;
410;244;42;96;1;0;2023-03-22T18:00:00.000Z;;;
409;260;37;101;1;0;2023-03-22T18:15:00.000Z;;;
413;286;46;90;1;0;2023-03-22T18:30:00.000Z;;;
411;275;45;91;1;0;2023-03-22T18:45:00.000Z;;;
408;270;39;100;1;0;2023-03-22T19:00:00.000Z;;;
409;270;37;99;1;0;2023-03-22T19:15:00.000Z;;;
409;280;36;99;1;0;2023-03-22T19:30:00.000Z;;;
409;280;36;99;1;0;2023-03-22T19:30:00.000Z;;;
409;268;37;96;1;0;2023-03-22T19:45:00.000Z;;;
413;291;41;90;1;1;2023-03-22T20:00:00.000Z;;;
412;291;36;94;2;1;2023-03-22T20:15:00.000Z;;;
416;298;38;91;2;1;2023-03-22T20:30:00.000Z;;;
419;364;38;84;3;2;2023-03-22T20:45:00.000Z;;;
416;353;33;90;2;1;2023-03-22T21:00:00.000Z;;;
416;360;34;88;3;2;2023-03-22T21:15:00.000Z;;;
416;339;34;88;3;2;2023-03-22T21:30:00.000Z;;;
417;331;31;90;2;2;2023-03-22T21:45:00.000Z;;;
426;406;38;76;3;2;2023-03-22T22:00:00.000Z;;;
426;410;36;75;3;2;2023-03-22T22:15:00.000Z;;;
428;421;36;72;3;2;2023-03-22T22:30:00.000Z;;;
428;431;35;71;3;2;2023-03-22T22:45:00.000Z;;;
425;382;26;79;4;3;2023-03-22T23:00:00.000Z;;;
423;344;23;83;3;2;2023-03-22T23:15:00.000Z;;;
423;323;24;82;3;2;2023-03-22T23:30:00.000Z;;;
428;348;20;77;3;3;2023-03-22T23:45:00.000Z;;;
431;379;20;74;4;3;2023-03-23T00:00:00.000Z;;;
428;378;19;78;4;3;2023-03-23T00:15:00.000Z;;;
430;398;18;75;4;3;2023-03-23T00:30:00.000Z;;;
433;406;18;71;4;3;2023-03-23T00:45:00.000Z;;;
432;399;17;70;4;3;2023-03-23T01:00:00.000Z;;;
429;362;16;76;3;2;2023-03-23T01:15:00.000Z;;;
428;332;15;78;3;2;2023-03-23T01:30:00.000Z;;;
427;311;15;81;3;2;2023-03-23T01:45:00.000Z;;;
426;297;15;84;2;1;2023-03-23T02:00:00.000Z;;;
428;282;15;85;2;1;2023-03-23T02:15:00.000Z;;;
424;272;16;87;2;1;2023-03-23T02:30:00.000Z;;;
425;268;16;89;2;1;2023-03-23T02:45:00.000Z;;;
424;262;16;91;2;1;2023-03-23T03:00:00.000Z;;;
428;256;14;89;2;1;2023-03-23T03:15:00.000Z;;;
430;254;14;87;2;1;2023-03-23T03:30:00.000Z;;;
428;247;14;88;1;1;2023-03-23T03:45:00.000Z;;;
427;242;14;91;1;1;2023-03-23T04:00:00.000Z;;;
428;243;15;89;1;1;2023-03-23T04:15:00.000Z;;;
431;237;16;86;1;1;2023-03-23T04:30:00.000Z;;;
432;235;16;86;1;0;2023-03-23T04:45:00.000Z;;;
429;233;14;88;1;1;2023-03-23T05:00:00.000Z;;;
428;237;15;88;1;1;2023-03-23T05:15:00.000Z;;;
425;226;18;92;1;1;2023-03-23T05:45:00.000Z;;;
420;206;21;95;1;1;2023-03-23T06:00:00.000Z;;;
419;202;21;98;1;0;2023-03-23T06:15:00.000Z;;;
423;209;20;91;1;0;2023-03-23T06:30:00.000Z;;;
