carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
395;175;24;104;2;1;2023-03-21T13:00:00.000Z;40.638073976301875;-8.643864619150884;5e99b00cc4ee8c00117cdd87_monitar
396;178;26;101;2;1;2023-03-21T13:15:00.000Z;;;
404;169;25;103;2;1;2023-03-21T13:30:00.000Z;;;
413;181;23;101;2;1;2023-03-21T13:45:00.000Z;;;
395;186;22;103;2;1;2023-03-21T14:00:00.000Z;;;
395;168;22;103;2;1;2023-03-21T14:15:00.000Z;;;
395;170;22;102;2;1;2023-03-21T14:30:00.000Z;;;
395;172;24;103;2;1;2023-03-21T14:45:00.000Z;;;
395;164;23;104;2;1;2023-03-21T15:00:00.000Z;;;
395;173;26;104;2;1;2023-03-21T15:15:00.000Z;;;
396;172;27;106;3;1;2023-03-21T15:30:00.000Z;;;
398;173;26;104;3;1;2023-03-21T15:45:00.000Z;;;
396;169;24;105;4;2;2023-03-21T16:00:00.000Z;;;
394;173;24;107;4;2;2023-03-21T16:15:00.000Z;;;
395;170;25;105;4;2;2023-03-21T16:30:00.000Z;;;
395;171;24;104;5;2;2023-03-21T16:45:00.000Z;;;
394;173;25;103;5;2;2023-03-21T17:00:00.000Z;;;
395;192;24;101;5;2;2023-03-21T17:15:00.000Z;;;
395;171;25;103;5;2;2023-03-21T17:30:00.000Z;;;
395;175;25;104;6;2;2023-03-21T17:45:00.000Z;;;
393;163;24;106;6;2;2023-03-21T18:00:00.000Z;;;
396;176;29;103;6;3;2023-03-21T18:15:00.000Z;;;
396;180;30;103;7;3;2023-03-21T18:30:00.000Z;;;
396;171;29;106;6;3;2023-03-21T18:45:00.000Z;;;
398;174;31;103;7;3;2023-03-21T19:00:00.000Z;;;
398;170;30;103;7;3;2023-03-21T19:15:00.000Z;;;
398;172;31;102;7;3;2023-03-21T19:30:00.000Z;;;
397;170;29;101;7;3;2023-03-21T19:45:00.000Z;;;
395;178;29;99;7;3;2023-03-21T20:00:00.000Z;;;
396;171;29;98;8;4;2023-03-21T20:15:00.000Z;;;
400;187;28;92;9;4;2023-03-21T20:30:00.000Z;;;
400;185;27;91;9;4;2023-03-21T20:45:00.000Z;;;
403;190;25;89;12;6;2023-03-21T21:00:00.000Z;;;
404;227;28;84;13;7;2023-03-21T21:15:00.000Z;;;
413;248;31;74;14;7;2023-03-21T21:30:00.000Z;;;
411;270;27;71;18;10;2023-03-21T21:45:00.000Z;;;
415;302;26;75;18;11;2023-03-21T22:00:00.000Z;;;
418;366;26;65;19;11;2023-03-21T22:15:00.000Z;;;
422;430;25;48;20;11;2023-03-21T22:30:00.000Z;;;
423;384;27;54;20;12;2023-03-21T22:45:00.000Z;;;
434;401;39;40;20;12;2023-03-21T23:00:00.000Z;;;
444;430;49;40;20;12;2023-03-21T23:15:00.000Z;;;
444;463;40;34;22;13;2023-03-21T23:30:00.000Z;;;
438;462;39;45;24;15;2023-03-21T23:45:00.000Z;;;
443;477;38;39;25;14;2023-03-22T00:00:00.000Z;;;
444;482;41;43;25;15;2023-03-22T00:15:00.000Z;;;
445;486;39;38;24;15;2023-03-22T00:30:00.000Z;;;
449;494;40;39;28;17;2023-03-22T00:45:00.000Z;;;
445;458;29;47;26;16;2023-03-22T01:00:00.000Z;;;
443;405;26;51;24;15;2023-03-22T01:15:00.000Z;;;
434;358;21;58;23;14;2023-03-22T01:30:00.000Z;;;
432;325;21;59;23;14;2023-03-22T01:45:00.000Z;;;
424;305;16;64;22;14;2023-03-22T02:00:00.000Z;;;
425;275;17;65;21;13;2023-03-22T02:15:00.000Z;;;
420;262;13;68;19;11;2023-03-22T02:30:00.000Z;;;
422;250;14;67;18;11;2023-03-22T02:45:00.000Z;;;
422;259;11;65;18;12;2023-03-22T03:00:00.000Z;;;
426;263;14;63;19;12;2023-03-22T03:15:00.000Z;;;
423;279;13;62;22;14;2023-03-22T03:30:00.000Z;;;
423;276;19;66;22;14;2023-03-22T03:45:00.000Z;;;
420;254;15;64;20;12;2023-03-22T04:00:00.000Z;;;
422;247;19;68;19;11;2023-03-22T04:15:00.000Z;;;
424;246;14;64;18;11;2023-03-22T04:30:00.000Z;;;
428;244;18;63;17;10;2023-03-22T04:45:00.000Z;;;
429;241;12;57;17;10;2023-03-22T05:00:00.000Z;;;
428;223;16;60;15;9;2023-03-22T05:15:00.000Z;;;
425;210;12;64;13;8;2023-03-22T05:30:00.000Z;;;
426;198;15;65;13;8;2023-03-22T05:45:00.000Z;;;
424;201;13;65;13;8;2023-03-22T06:00:00.000Z;;;
424;189;16;65;14;8;2023-03-22T06:15:00.000Z;;;
421;193;15;66;14;9;2023-03-22T06:30:00.000Z;;;
423;182;17;64;14;9;2023-03-22T06:45:00.000Z;;;
420;190;15;67;15;9;2023-03-22T07:00:00.000Z;;;
