carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
431;523;48;74;8;4;2023-03-23T15:15:00.000Z;40.64435;-8.64066;5e4eba1b4567aa006369da9f_monitar
431;523;48;74;8;4;2023-03-23T15:15:00.000Z;;;
412;416;50;72;9;4;2023-03-23T15:30:00.000Z;;;
534;475;51;71;9;5;2023-03-23T15:45:00.000Z;;;
590;610;57;58;18;8;2023-03-23T16:00:00.000Z;;;
501;402;59;59;9;5;2023-03-23T16:15:00.000Z;;;
431;356;51;68;10;5;2023-03-23T16:30:00.000Z;;;
426;307;56;64;33;13;2023-03-23T16:45:00.000Z;;;
402;299;58;63;16;7;2023-03-23T17:00:00.000Z;;;
578;360;71;52;10;5;2023-03-23T17:15:00.000Z;;;
516;350;63;55;8;4;2023-03-23T17:30:00.000Z;;;
444;341;67;52;11;6;2023-03-23T17:45:00.000Z;;;
500;357;60;53;19;9;2023-03-23T18:00:00.000Z;;;
570;496;73;44;13;6;2023-03-23T18:15:00.000Z;;;
466;536;76;37;19;9;2023-03-23T18:30:00.000Z;;;
405;508;68;46;17;8;2023-03-23T18:45:00.000Z;;;
512;446;63;47;13;7;2023-03-23T19:00:00.000Z;;;
420;442;64;48;17;8;2023-03-23T19:15:00.000Z;;;
450;406;64;45;15;8;2023-03-23T19:30:00.000Z;;;
445;377;57;49;16;8;2023-03-23T19:45:00.000Z;;;
425;369;53;51;15;8;2023-03-23T20:00:00.000Z;;;
418;413;64;45;12;6;2023-03-23T20:15:00.000Z;;;
417;432;61;48;10;5;2023-03-23T20:30:00.000Z;;;
424;386;54;55;10;5;2023-03-23T20:45:00.000Z;;;
420;379;59;52;10;5;2023-03-23T21:00:00.000Z;;;
420;379;54;53;10;5;2023-03-23T21:15:00.000Z;;;
414;389;54;54;10;5;2023-03-23T21:30:00.000Z;;;
410;364;57;54;10;5;2023-03-23T21:45:00.000Z;;;
416;1916;52;60;10;5;2023-03-23T22:00:00.000Z;;;
415;1323;51;57;9;5;2023-03-23T22:15:00.000Z;;;
413;676;54;58;9;5;2023-03-23T22:30:00.000Z;;;
418;629;51;60;8;5;2023-03-23T22:45:00.000Z;;;
420;564;48;63;7;4;2023-03-23T23:00:00.000Z;;;
414;529;53;59;6;4;2023-03-23T23:15:00.000Z;;;
411;493;49;61;5;3;2023-03-23T23:30:00.000Z;;;
413;470;53;59;4;3;2023-03-23T23:45:00.000Z;;;
423;442;55;58;4;2;2023-03-24T00:00:00.000Z;;;
417;368;35;72;3;2;2023-03-24T00:30:00.000Z;;;
406;336;35;73;3;2;2023-03-24T00:45:00.000Z;;;
408;314;33;73;3;2;2023-03-24T01:00:00.000Z;;;
419;299;33;73;2;2;2023-03-24T01:15:00.000Z;;;
418;308;32;70;3;2;2023-03-24T01:30:00.000Z;;;
411;270;33;73;2;1;2023-03-24T01:45:00.000Z;;;
399;255;33;74;3;2;2023-03-24T02:00:00.000Z;;;
399;252;33;72;3;2;2023-03-24T02:15:00.000Z;;;
410;253;32;69;4;2;2023-03-24T02:30:00.000Z;;;
402;237;33;72;3;2;2023-03-24T02:45:00.000Z;;;
408;234;33;69;3;2;2023-03-24T03:00:00.000Z;;;
404;222;33;70;2;1;2023-03-24T03:15:00.000Z;;;
