carbon_dioxide (ppm);carbon_monoxide (ug/m3);nitrogen_dioxide (ug/m3);ozone (ug/m3);pm_10 (ug/m3);pm_2_5 (ug/m3);timestamp;latitude;longitude;device name
403;402;76;0;5;3;2023-05-04T12:15:00.000Z;40.64422070428011;-8.6409663038063;5ea81139c4ee8c00117cde28_monitar
407;394;75;0;6;4;2023-05-04T12:30:00.000Z;;;
406;395;76;0;6;4;2023-05-04T12:45:00.000Z;;;
404;399;76;0;6;4;2023-05-04T13:00:00.000Z;;;
405;395;75;0;6;4;2023-05-04T13:15:00.000Z;;;
405;395;75;0;6;4;2023-05-04T13:30:00.000Z;;;
405;394;75;0;5;3;2023-05-04T13:45:00.000Z;;;
403;393;76;0;6;4;2023-05-04T14:00:00.000Z;;;
405;396;75;0;6;4;2023-05-04T14:15:00.000Z;;;
406;395;76;0;5;3;2023-05-04T14:30:00.000Z;;;
409;394;75;0;5;3;2023-05-04T14:45:00.000Z;;;
406;394;76;0;5;3;2023-05-04T15:00:00.000Z;;;
407;397;77;0;6;4;2023-05-04T15:15:00.000Z;;;
405;396;75;0;6;4;2023-05-04T15:30:00.000Z;;;
406;395;76;0;6;4;2023-05-04T15:45:00.000Z;;;
407;392;75;0;6;4;2023-05-04T16:00:00.000Z;;;
407;396;78;0;6;4;2023-05-04T16:15:00.000Z;;;
406;405;77;0;6;4;2023-05-04T16:30:00.000Z;;;
407;405;76;0;6;4;2023-05-04T16:45:00.000Z;;;
408;399;76;0;6;4;2023-05-04T17:00:00.000Z;;;
411;398;76;0;5;3;2023-05-04T17:15:00.000Z;;;
408;402;78;0;5;3;2023-05-04T17:30:00.000Z;;;
411;398;75;0;5;3;2023-05-04T17:45:00.000Z;;;
409;401;78;0;5;3;2023-05-04T18:00:00.000Z;;;
407;401;76;0;6;4;2023-05-04T18:15:00.000Z;;;
406;401;76;0;6;4;2023-05-04T18:30:00.000Z;;;
408;403;77;0;5;3;2023-05-04T18:45:00.000Z;;;
410;404;77;0;5;3;2023-05-04T19:00:00.000Z;;;
413;409;76;0;4;2;2023-05-04T19:15:00.000Z;;;
416;416;77;0;4;2;2023-05-04T19:30:00.000Z;;;
413;416;78;0;4;2;2023-05-04T19:45:00.000Z;;;
415;416;79;0;4;2;2023-05-04T20:00:00.000Z;;;
417;413;79;0;4;2;2023-05-04T20:15:00.000Z;;;
418;415;78;0;4;2;2023-05-04T20:30:00.000Z;;;
418;417;79;0;4;2;2023-05-04T20:45:00.000Z;;;
419;421;79;0;4;2;2023-05-04T21:00:00.000Z;;;
420;419;78;0;4;2;2023-05-04T21:15:00.000Z;;;
420;429;79;0;4;2;2023-05-04T21:30:00.000Z;;;
421;427;79;0;5;3;2023-05-04T21:45:00.000Z;;;
