,carbon_dioxide (ppm),carbon_monoxide (ug/m3),nitrogen_dioxide (ug/m3),ozone (ug/m3),pm_10 (ug/m3),pm_2_5 (ug/m3),timestamp,latitude,longitude,device name
0,406.0,222.0,30.0,104.0,13.0,8.0,2023-03-08T15:15:00.000Z,40.646420920820354,-8.643309015445617,5ecd50bf766c3f0012f064cf_monitar
1,407.0,216.0,32.0,102.0,11.0,7.0,2023-03-08T15:30:00.000Z,40.646420920820354,-8.643309015445617,
2,406.0,202.0,32.0,102.0,12.0,8.0,2023-03-08T15:45:00.000Z,40.646420920820354,-8.643309015445617,
3,405.0,204.0,32.0,103.0,11.0,7.0,2023-03-08T16:00:00.000Z,40.646420920820354,-8.643309015445617,
4,406.0,202.0,32.0,103.0,10.0,6.0,2023-03-08T16:15:00.000Z,40.646420920820354,-8.643309015445617,
5,405.0,209.0,31.0,105.0,10.0,7.0,2023-03-08T16:30:00.000Z,40.646420920820354,-8.643309015445617,
6,406.0,231.0,31.0,102.0,12.0,8.0,2023-03-08T16:45:00.000Z,40.646420920820354,-8.643309015445617,
7,406.0,222.0,30.0,104.0,13.0,8.0,2023-03-08T15:15:00.000Z,40.646420920820354,-8.643309015445617,
8,407.0,216.0,32.0,102.0,11.0,7.0,2023-03-08T15:30:00.000Z,40.646420920820354,-8.643309015445617,
9,406.0,202.0,32.0,102.0,12.0,8.0,2023-03-08T15:45:00.000Z,40.646420920820354,-8.643309015445617,
10,405.0,204.0,32.0,103.0,11.0,7.0,2023-03-08T16:00:00.000Z,40.646420920820354,-8.643309015445617,
11,406.0,202.0,32.0,103.0,10.0,6.0,2023-03-08T16:15:00.000Z,40.646420920820354,-8.643309015445617,
12,403.0,199.0,29.0,107.0,0.0,0.0,2023-03-21T13:00:00.000Z,40.646420920820354,-8.643309015445617,
13,405.0,204.0,27.0,108.0,1.0,0.0,2023-03-21T13:15:00.000Z,40.646420920820354,-8.643309015445617,
14,408.0,207.0,27.0,108.0,2.0,1.0,2023-03-21T13:30:00.000Z,40.646420920820354,-8.643309015445617,
15,405.0,203.0,25.0,106.0,1.0,0.0,2023-03-21T13:45:00.000Z,40.646420920820354,-8.643309015445617,
16,405.0,201.0,26.0,105.0,1.0,0.0,2023-03-21T14:00:00.000Z,40.646420920820354,-8.643309015445617,
17,405.0,202.0,27.0,104.0,1.0,0.0,2023-03-21T14:15:00.000Z,40.646420920820354,-8.643309015445617,
18,404.0,202.0,25.0,106.0,1.0,0.0,2023-03-21T14:30:00.000Z,40.646420920820354,-8.643309015445617,
19,403.0,186.0,26.0,108.0,1.0,0.0,2023-03-21T14:45:00.000Z,40.646420920820354,-8.643309015445617,
20,403.0,191.0,27.0,109.0,1.0,0.0,2023-03-21T15:00:00.000Z,40.646420920820354,-8.643309015445617,
21,402.0,195.0,27.0,110.0,0.0,0.0,2023-03-21T15:15:00.000Z,40.646420920820354,-8.643309015445617,
22,405.0,219.0,31.0,108.0,1.0,0.0,2023-03-21T15:30:00.000Z,40.646420920820354,-8.643309015445617,
23,403.0,219.0,27.0,110.0,1.0,0.0,2023-03-21T15:45:00.000Z,40.646420920820354,-8.643309015445617,
24,403.0,214.0,28.0,110.0,1.0,0.0,2023-03-21T16:00:00.000Z,40.646420920820354,-8.643309015445617,
25,403.0,190.0,26.0,113.0,1.0,0.0,2023-03-21T16:15:00.000Z,40.646420920820354,-8.643309015445617,
26,404.0,196.0,27.0,111.0,1.0,0.0,2023-03-21T16:30:00.000Z,40.646420920820354,-8.643309015445617,
27,403.0,190.0,25.0,110.0,1.0,0.0,2023-03-21T16:45:00.000Z,40.646420920820354,-8.643309015445617,
28,403.0,196.0,23.0,111.0,1.0,0.0,2023-03-21T17:00:00.000Z,40.646420920820354,-8.643309015445617,
29,403.0,176.0,22.0,114.0,1.0,0.0,2023-03-21T17:15:00.000Z,40.646420920820354,-8.643309015445617,
30,402.0,194.0,25.0,110.0,1.0,0.0,2023-03-21T17:30:00.000Z,40.646420920820354,-8.643309015445617,
31,402.0,184.0,23.0,113.0,1.0,0.0,2023-03-21T17:45:00.000Z,40.646420920820354,-8.643309015445617,
32,404.0,183.0,25.0,114.0,1.0,0.0,2023-03-21T18:00:00.000Z,40.646420920820354,-8.643309015445617,
33,405.0,170.0,23.0,116.0,1.0,0.0,2023-03-21T18:15:00.000Z,40.646420920820354,-8.643309015445617,
34,404.0,175.0,26.0,118.0,1.0,0.0,2023-03-21T18:30:00.000Z,40.646420920820354,-8.643309015445617,
35,407.0,193.0,28.0,118.0,1.0,0.0,2023-03-21T18:45:00.000Z,40.646420920820354,-8.643309015445617,
36,406.0,182.0,27.0,117.0,1.0,0.0,2023-03-21T19:00:00.000Z,40.646420920820354,-8.643309015445617,
37,405.0,186.0,27.0,117.0,1.0,0.0,2023-03-21T19:15:00.000Z,40.646420920820354,-8.643309015445617,
38,405.0,203.0,27.0,119.0,1.0,0.0,2023-03-21T19:30:00.000Z,40.646420920820354,-8.643309015445617,
39,404.0,179.0,25.0,120.0,1.0,0.0,2023-03-21T19:45:00.000Z,40.646420920820354,-8.643309015445617,
40,406.0,185.0,27.0,117.0,1.0,0.0,2023-03-21T20:00:00.000Z,40.646420920820354,-8.643309015445617,
41,408.0,186.0,25.0,116.0,1.0,0.0,2023-03-21T20:15:00.000Z,40.646420920820354,-8.643309015445617,
42,408.0,189.0,23.0,113.0,1.0,0.0,2023-03-21T20:30:00.000Z,40.646420920820354,-8.643309015445617,
43,413.0,208.0,22.0,106.0,1.0,0.0,2023-03-21T20:45:00.000Z,40.646420920820354,-8.643309015445617,
44,415.0,221.0,21.0,102.0,2.0,1.0,2023-03-21T21:00:00.000Z,40.646420920820354,-8.643309015445617,
45,418.0,259.0,23.0,96.0,3.0,1.0,2023-03-21T21:15:00.000Z,40.646420920820354,-8.643309015445617,
46,416.0,294.0,24.0,99.0,3.0,1.0,2023-03-21T21:30:00.000Z,40.646420920820354,-8.643309015445617,
47,422.0,320.0,37.0,78.0,3.0,2.0,2023-03-21T21:45:00.000Z,40.646420920820354,-8.643309015445617,
48,421.0,331.0,37.0,74.0,4.0,2.0,2023-03-21T22:00:00.000Z,40.646420920820354,-8.643309015445617,
49,416.0,313.0,27.0,89.0,4.0,2.0,2023-03-21T22:15:00.000Z,40.646420920820354,-8.643309015445617,
50,424.0,373.0,32.0,80.0,4.0,3.0,2023-03-21T22:30:00.000Z,40.646420920820354,-8.643309015445617,
51,426.0,432.0,35.0,73.0,5.0,3.0,2023-03-21T22:45:00.000Z,40.646420920820354,-8.643309015445617,
52,433.0,461.0,40.0,62.0,5.0,3.0,2023-03-21T23:00:00.000Z,40.646420920820354,-8.643309015445617,
53,430.0,410.0,35.0,66.0,4.0,3.0,2023-03-21T23:15:00.000Z,40.646420920820354,-8.643309015445617,
54,436.0,423.0,40.0,57.0,4.0,3.0,2023-03-21T23:30:00.000Z,40.646420920820354,-8.643309015445617,
55,436.0,468.0,42.0,52.0,5.0,3.0,2023-03-21T23:45:00.000Z,40.646420920820354,-8.643309015445617,
56,435.0,445.0,36.0,61.0,5.0,3.0,2023-03-22T00:00:00.000Z,40.646420920820354,-8.643309015445617,
57,443.0,444.0,36.0,60.0,5.0,3.0,2023-03-22T00:15:00.000Z,40.646420920820354,-8.643309015445617,
58,452.0,492.0,40.0,47.0,5.0,3.0,2023-03-22T00:30:00.000Z,40.646420920820354,-8.643309015445617,
59,455.0,518.0,38.0,47.0,5.0,3.0,2023-03-22T00:45:00.000Z,40.646420920820354,-8.643309015445617,
60,444.0,499.0,32.0,56.0,5.0,4.0,2023-03-22T01:00:00.000Z,40.646420920820354,-8.643309015445617,
61,444.0,462.0,25.0,60.0,5.0,4.0,2023-03-22T01:15:00.000Z,40.646420920820354,-8.643309015445617,
62,443.0,438.0,21.0,60.0,5.0,3.0,2023-03-22T01:30:00.000Z,40.646420920820354,-8.643309015445617,
63,442.0,400.0,19.0,64.0,5.0,3.0,2023-03-22T01:45:00.000Z,40.646420920820354,-8.643309015445617,
64,431.0,338.0,12.0,70.0,4.0,3.0,2023-03-22T02:00:00.000Z,40.646420920820354,-8.643309015445617,
65,431.0,309.0,12.0,73.0,4.0,3.0,2023-03-22T02:15:00.000Z,40.646420920820354,-8.643309015445617,
66,430.0,294.0,11.0,73.0,4.0,3.0,2023-03-22T02:30:00.000Z,40.646420920820354,-8.643309015445617,
67,431.0,283.0,9.0,72.0,4.0,3.0,2023-03-22T02:45:00.000Z,40.646420920820354,-8.643309015445617,
68,433.0,277.0,7.0,71.0,4.0,3.0,2023-03-22T03:00:00.000Z,40.646420920820354,-8.643309015445617,
69,434.0,286.0,7.0,69.0,4.0,3.0,2023-03-22T03:15:00.000Z,40.646420920820354,-8.643309015445617,
70,439.0,306.0,9.0,65.0,4.0,3.0,2023-03-22T03:30:00.000Z,40.646420920820354,-8.643309015445617,
71,436.0,300.0,10.0,69.0,4.0,3.0,2023-03-22T03:45:00.000Z,40.646420920820354,-8.643309015445617,
72,433.0,282.0,10.0,72.0,4.0,3.0,2023-03-22T04:00:00.000Z,40.646420920820354,-8.643309015445617,
73,435.0,273.0,10.0,74.0,3.0,2.0,2023-03-22T04:15:00.000Z,40.646420920820354,-8.643309015445617,
74,440.0,273.0,12.0,66.0,3.0,2.0,2023-03-22T04:30:00.000Z,40.646420920820354,-8.643309015445617,
75,439.0,263.0,9.0,64.0,3.0,2.0,2023-03-22T04:45:00.000Z,40.646420920820354,-8.643309015445617,
