,carbon_dioxide (ppm),carbon_monoxide (ug/m3),nitrogen_dioxide (ug/m3),ozone (ug/m3),pm_10 (ug/m3),pm_2_5 (ug/m3),timestamp,latitude,longitude,device name
0,403.0,402.0,76.0,0.0,5.0,3.0,2023-05-04T12:15:00.000Z,40.64422070428011,-8.6409663038063,5ea81139c4ee8c00117cde28_monitar
1,407.0,394.0,75.0,0.0,6.0,4.0,2023-05-04T12:30:00.000Z,40.64422070428011,-8.6409663038063,
2,406.0,395.0,76.0,0.0,6.0,4.0,2023-05-04T12:45:00.000Z,40.64422070428011,-8.6409663038063,
3,404.0,399.0,76.0,0.0,6.0,4.0,2023-05-04T13:00:00.000Z,40.64422070428011,-8.6409663038063,
4,405.0,395.0,75.0,0.0,6.0,4.0,2023-05-04T13:15:00.000Z,40.64422070428011,-8.6409663038063,
5,405.0,395.0,75.0,0.0,6.0,4.0,2023-05-04T13:30:00.000Z,40.64422070428011,-8.6409663038063,
6,405.0,394.0,75.0,0.0,5.0,3.0,2023-05-04T13:45:00.000Z,40.64422070428011,-8.6409663038063,
7,403.0,393.0,76.0,0.0,6.0,4.0,2023-05-04T14:00:00.000Z,40.64422070428011,-8.6409663038063,
8,405.0,396.0,75.0,0.0,6.0,4.0,2023-05-04T14:15:00.000Z,40.64422070428011,-8.6409663038063,
9,406.0,395.0,76.0,0.0,5.0,3.0,2023-05-04T14:30:00.000Z,40.64422070428011,-8.6409663038063,
10,409.0,394.0,75.0,0.0,5.0,3.0,2023-05-04T14:45:00.000Z,40.64422070428011,-8.6409663038063,
11,406.0,394.0,76.0,0.0,5.0,3.0,2023-05-04T15:00:00.000Z,40.64422070428011,-8.6409663038063,
12,407.0,397.0,77.0,0.0,6.0,4.0,2023-05-04T15:15:00.000Z,40.64422070428011,-8.6409663038063,
13,405.0,396.0,75.0,0.0,6.0,4.0,2023-05-04T15:30:00.000Z,40.64422070428011,-8.6409663038063,
14,406.0,395.0,76.0,0.0,6.0,4.0,2023-05-04T15:45:00.000Z,40.64422070428011,-8.6409663038063,
15,407.0,392.0,75.0,0.0,6.0,4.0,2023-05-04T16:00:00.000Z,40.64422070428011,-8.6409663038063,
16,407.0,396.0,78.0,0.0,6.0,4.0,2023-05-04T16:15:00.000Z,40.64422070428011,-8.6409663038063,
17,406.0,405.0,77.0,0.0,6.0,4.0,2023-05-04T16:30:00.000Z,40.64422070428011,-8.6409663038063,
18,407.0,405.0,76.0,0.0,6.0,4.0,2023-05-04T16:45:00.000Z,40.64422070428011,-8.6409663038063,
19,408.0,399.0,76.0,0.0,6.0,4.0,2023-05-04T17:00:00.000Z,40.64422070428011,-8.6409663038063,
20,411.0,398.0,76.0,0.0,5.0,3.0,2023-05-04T17:15:00.000Z,40.64422070428011,-8.6409663038063,
21,408.0,402.0,78.0,0.0,5.0,3.0,2023-05-04T17:30:00.000Z,40.64422070428011,-8.6409663038063,
22,411.0,398.0,75.0,0.0,5.0,3.0,2023-05-04T17:45:00.000Z,40.64422070428011,-8.6409663038063,
23,409.0,401.0,78.0,0.0,5.0,3.0,2023-05-04T18:00:00.000Z,40.64422070428011,-8.6409663038063,
24,407.0,401.0,76.0,0.0,6.0,4.0,2023-05-04T18:15:00.000Z,40.64422070428011,-8.6409663038063,
25,406.0,401.0,76.0,0.0,6.0,4.0,2023-05-04T18:30:00.000Z,40.64422070428011,-8.6409663038063,
26,408.0,403.0,77.0,0.0,5.0,3.0,2023-05-04T18:45:00.000Z,40.64422070428011,-8.6409663038063,
27,410.0,404.0,77.0,0.0,5.0,3.0,2023-05-04T19:00:00.000Z,40.64422070428011,-8.6409663038063,
28,413.0,409.0,76.0,0.0,4.0,2.0,2023-05-04T19:15:00.000Z,40.64422070428011,-8.6409663038063,
29,416.0,416.0,77.0,0.0,4.0,2.0,2023-05-04T19:30:00.000Z,40.64422070428011,-8.6409663038063,
30,413.0,416.0,78.0,0.0,4.0,2.0,2023-05-04T19:45:00.000Z,40.64422070428011,-8.6409663038063,
31,415.0,416.0,79.0,0.0,4.0,2.0,2023-05-04T20:00:00.000Z,40.64422070428011,-8.6409663038063,
32,417.0,413.0,79.0,0.0,4.0,2.0,2023-05-04T20:15:00.000Z,40.64422070428011,-8.6409663038063,
33,418.0,415.0,78.0,0.0,4.0,2.0,2023-05-04T20:30:00.000Z,40.64422070428011,-8.6409663038063,
34,418.0,417.0,79.0,0.0,4.0,2.0,2023-05-04T20:45:00.000Z,40.64422070428011,-8.6409663038063,
35,419.0,421.0,79.0,0.0,4.0,2.0,2023-05-04T21:00:00.000Z,40.64422070428011,-8.6409663038063,
36,420.0,419.0,78.0,0.0,4.0,2.0,2023-05-04T21:15:00.000Z,40.64422070428011,-8.6409663038063,
37,420.0,429.0,79.0,0.0,4.0,2.0,2023-05-04T21:30:00.000Z,40.64422070428011,-8.6409663038063,
38,421.0,427.0,79.0,0.0,5.0,3.0,2023-05-04T21:45:00.000Z,40.64422070428011,-8.6409663038063,
39,422.0,426.0,79.0,0.0,4.0,2.0,2023-05-04T22:00:00.000Z,40.64422070428011,-8.6409663038063,
40,423.0,422.0,78.0,0.0,5.0,3.0,2023-05-04T22:15:00.000Z,40.64422070428011,-8.6409663038063,
41,423.0,419.0,79.0,0.0,4.0,2.0,2023-05-04T22:30:00.000Z,40.64422070428011,-8.6409663038063,
42,423.0,427.0,78.0,0.0,5.0,3.0,2023-05-04T22:45:00.000Z,40.64422070428011,-8.6409663038063,
43,421.0,440.0,79.0,0.0,5.0,3.0,2023-05-04T23:00:00.000Z,40.64422070428011,-8.6409663038063,
44,423.0,420.0,78.0,0.0,5.0,3.0,2023-05-04T23:15:00.000Z,40.64422070428011,-8.6409663038063,
45,422.0,414.0,78.0,0.0,5.0,3.0,2023-05-04T23:30:00.000Z,40.64422070428011,-8.6409663038063,
46,423.0,418.0,79.0,0.0,5.0,3.0,2023-05-04T23:45:00.000Z,40.64422070428011,-8.6409663038063,
47,423.0,421.0,78.0,0.0,5.0,3.0,2023-05-05T00:00:00.000Z,40.64422070428011,-8.6409663038063,
48,431.0,424.0,78.0,0.0,5.0,3.0,2023-05-05T00:15:00.000Z,40.64422070428011,-8.6409663038063,
49,440.0,427.0,79.0,0.0,5.0,3.0,2023-05-05T00:30:00.000Z,40.64422070428011,-8.6409663038063,
50,442.0,423.0,77.0,0.0,5.0,3.0,2023-05-05T00:45:00.000Z,40.64422070428011,-8.6409663038063,
51,450.0,419.0,78.0,0.0,5.0,3.0,2023-05-05T01:00:00.000Z,40.64422070428011,-8.6409663038063,
52,450.0,419.0,78.0,0.0,5.0,3.0,2023-05-05T01:00:00.000Z,40.64422070428011,-8.6409663038063,
53,450.0,419.0,76.0,0.0,5.0,3.0,2023-05-05T01:15:00.000Z,40.64422070428011,-8.6409663038063,
54,448.0,417.0,77.0,0.0,5.0,3.0,2023-05-05T01:30:00.000Z,40.64422070428011,-8.6409663038063,
55,448.0,422.0,75.0,0.0,5.0,3.0,2023-05-05T01:45:00.000Z,40.64422070428011,-8.6409663038063,
56,451.0,424.0,76.0,0.0,5.0,3.0,2023-05-05T02:00:00.000Z,40.64422070428011,-8.6409663038063,
57,455.0,423.0,76.0,0.0,5.0,3.0,2023-05-05T02:15:00.000Z,40.64422070428011,-8.6409663038063,
58,456.0,428.0,76.0,0.0,5.0,3.0,2023-05-05T02:30:00.000Z,40.64422070428011,-8.6409663038063,
59,458.0,429.0,77.0,0.0,5.0,3.0,2023-05-05T02:45:00.000Z,40.64422070428011,-8.6409663038063,
60,459.0,426.0,75.0,0.0,5.0,3.0,2023-05-05T03:00:00.000Z,40.64422070428011,-8.6409663038063,
61,457.0,424.0,77.0,0.0,5.0,3.0,2023-05-05T03:15:00.000Z,40.64422070428011,-8.6409663038063,
62,452.0,422.0,75.0,0.0,5.0,3.0,2023-05-05T03:30:00.000Z,40.64422070428011,-8.6409663038063,
63,451.0,425.0,76.0,0.0,5.0,3.0,2023-05-05T03:45:00.000Z,40.64422070428011,-8.6409663038063,
64,451.0,432.0,76.0,0.0,6.0,4.0,2023-05-05T04:00:00.000Z,40.64422070428011,-8.6409663038063,
65,453.0,424.0,75.0,0.0,5.0,3.0,2023-05-05T04:15:00.000Z,40.64422070428011,-8.6409663038063,
66,457.0,428.0,76.0,0.0,5.0,3.0,2023-05-05T04:30:00.000Z,40.64422070428011,-8.6409663038063,
67,458.0,443.0,76.0,0.0,5.0,3.0,2023-05-05T04:45:00.000Z,40.64422070428011,-8.6409663038063,
68,461.0,433.0,74.0,0.0,5.0,3.0,2023-05-05T05:00:00.000Z,40.64422070428011,-8.6409663038063,
69,460.0,427.0,75.0,0.0,5.0,3.0,2023-05-05T05:15:00.000Z,40.64422070428011,-8.6409663038063,
70,458.0,419.0,76.0,0.0,5.0,3.0,2023-05-05T05:30:00.000Z,40.64422070428011,-8.6409663038063,
71,462.0,417.0,75.0,0.0,5.0,3.0,2023-05-05T05:45:00.000Z,40.64422070428011,-8.6409663038063,
72,464.0,422.0,75.0,0.0,5.0,3.0,2023-05-05T06:00:00.000Z,40.64422070428011,-8.6409663038063,
73,461.0,421.0,77.0,0.0,5.0,3.0,2023-05-05T06:15:00.000Z,40.64422070428011,-8.6409663038063,
74,461.0,417.0,75.0,0.0,5.0,3.0,2023-05-05T06:30:00.000Z,40.64422070428011,-8.6409663038063,
75,460.0,461.0,75.0,0.0,5.0,3.0,2023-05-05T06:45:00.000Z,40.64422070428011,-8.6409663038063,
76,459.0,463.0,76.0,0.0,5.0,3.0,2023-05-05T07:00:00.000Z,40.64422070428011,-8.6409663038063,
77,456.0,450.0,75.0,0.0,5.0,3.0,2023-05-05T07:15:00.000Z,40.64422070428011,-8.6409663038063,
78,451.0,447.0,77.0,0.0,5.0,3.0,2023-05-05T07:30:00.000Z,40.64422070428011,-8.6409663038063,
